Thu Jun  7 03:57:54 UTC 2018,,,,,
Setting up test: runsperthread=100 threads=1 totalruns=100,,,,,
run_id,thread_id,json,output,elapsed_time,sleep_time_ms
1,1,,,1333,-0.333
2,1,,,1375,-0.375
3,1,,,2217,-1.217
4,1,,,2477,-1.477
5,1,,,1804,-0.804
6,1,,,1433,-0.433
7,1,,,2098,-1.098
8,1,,,1974,-0.974
9,1,,,2155,-1.155
10,1,,,2045,-1.045
11,1,,,1947,-0.947
12,1,,,1653,-0.653
13,1,,,1539,-0.539
14,1,,,1763,-0.763
15,1,,,2448,-1.448
16,1,,,2017,-1.017
17,1,,,2664,-1.664
18,1,,,1946,-0.946
19,1,,,2142,-1.142
20,1,,,2037,-1.037
21,1,,,2017,-1.017
22,1,,,1630,-0.63
23,1,,,1931,-0.931
24,1,,,2038,-1.038
25,1,,,1873,-0.873
26,1,,,1778,-0.778
27,1,,,1816,-0.816
28,1,,,1812,-0.812
29,1,,,1597,-0.597
30,1,,,2395,-1.395
31,1,,,1955,-0.955
32,1,,,1936,-0.936
33,1,,,1856,-0.856
34,1,,,2414,-1.414
35,1,,,2010,-1.01
36,1,,,2103,-1.103
37,1,,,2075,-1.075
38,1,,,1974,-0.974
39,1,,,2228,-1.228
40,1,,,2253,-1.253
41,1,,,2447,-1.447
42,1,,,1962,-0.962
43,1,,,1760,-0.76
44,1,,,1890,-0.89
45,1,,,1651,-0.651
46,1,,,2200,-1.2
47,1,,,1577,-0.577
48,1,,,1833,-0.833
49,1,,,2099,-1.099
50,1,,,1817,-0.817
51,1,,,2049,-1.049
52,1,,,1461,-0.461
53,1,,,1923,-0.923
54,1,,,1553,-0.553
55,1,,,1864,-0.864
56,1,,,2110,-1.11
57,1,,,2098,-1.098
58,1,,,1838,-0.838
59,1,,,2062,-1.062
60,1,,,1718,-0.718
61,1,,,1705,-0.705
62,1,,,1854,-0.854
63,1,,,2272,-1.272
64,1,,,1896,-0.896
65,1,,,2016,-1.016
66,1,,,2018,-1.018
67,1,,,1889,-0.889
68,1,,,1545,-0.545
69,1,,,1876,-0.876
70,1,,,2065,-1.065
71,1,,,1939,-0.939
72,1,,,1916,-0.916
73,1,,,1840,-0.84
74,1,,,2003,-1.003
75,1,,,2123,-1.123
76,1,,,1938,-0.938
77,1,,,2212,-1.212
78,1,,,2251,-1.251
79,1,,,1771,-0.771
80,1,,,1506,-0.506
81,1,,,1975,-0.975
82,1,,,1995,-0.995
83,1,,,2239,-1.239
84,1,,,1792,-0.792
85,1,,,1822,-0.822
86,1,,,1808,-0.808
87,1,,,2020,-1.02
88,1,,,1730,-0.73
89,1,,,1810,-0.81
90,1,,,1263,-0.263
91,1,,,1242,-0.242
92,1,,,1429,-0.429
93,1,,,1157,-0.157
94,1,,,1711,-0.711
95,1,,,1900,-0.9
96,1,,,1829,-0.829
97,1,,,1833,-0.833
98,1,,,1536,-0.536
99,1,,,1744,-0.744
100,1,,,1153,-0.153
,,,,1892.93,
