Thu Jun  7 23:55:43 UTC 2018,,,,,
Setting up test: runsperthread=100 threads=1 totalruns=100,,,,,
run_id,thread_id,json,output,elapsed_time,sleep_time_ms
1,1,,,4180,-3.18
2,1,,,1158,-0.158
3,1,,,1135,-0.135
4,1,,,1209,-0.209
5,1,,,1010,-0.01
6,1,,,2093,-1.093
7,1,,,1754,-0.754
8,1,,,1786,-0.786
9,1,,,2054,-1.054
10,1,,,1530,-0.53
11,1,,,1653,-0.653
12,1,,,1989,-0.989
13,1,,,2071,-1.071
14,1,,,1678,-0.678
15,1,,,1685,-0.685
16,1,,,2193,-1.193
17,1,,,2048,-1.048
18,1,,,2078,-1.078
19,1,,,1724,-0.724
20,1,,,2148,-1.148
21,1,,,2095,-1.095
22,1,,,1648,-0.648
23,1,,,1472,-0.472
24,1,,,1473,-0.473
25,1,,,2033,-1.033
26,1,,,2051,-1.051
27,1,,,1749,-0.749
28,1,,,1869,-0.869
29,1,,,1998,-0.998
30,1,,,1907,-0.907
31,1,,,1875,-0.875
32,1,,,1746,-0.746
33,1,,,1830,-0.83
34,1,,,2525,-1.525
35,1,,,1712,-0.712
36,1,,,1597,-0.597
37,1,,,1525,-0.525
38,1,,,1399,-0.399
39,1,,,1345,-0.345
40,1,,,1554,-0.554
41,1,,,1629,-0.629
42,1,,,1336,-0.336
43,1,,,1805,-0.805
44,1,,,1660,-0.66
45,1,,,1778,-0.778
46,1,,,1531,-0.531
47,1,,,1518,-0.518
48,1,,,1769,-0.769
49,1,,,1720,-0.72
50,1,,,1572,-0.572
51,1,,,1365,-0.365
52,1,,,1479,-0.479
53,1,,,1794,-0.794
54,1,,,1531,-0.531
55,1,,,1952,-0.952
56,1,,,1549,-0.549
57,1,,,1457,-0.457
58,1,,,1488,-0.488
59,1,,,1562,-0.562
60,1,,,1662,-0.662
61,1,,,1663,-0.663
62,1,,,1675,-0.675
63,1,,,1573,-0.573
64,1,,,1644,-0.644
65,1,,,1519,-0.519
66,1,,,1465,-0.465
67,1,,,1597,-0.597
68,1,,,2012,-1.012
69,1,,,1730,-0.73
70,1,,,1991,-0.991
71,1,,,2209,-1.209
72,1,,,1852,-0.852
73,1,,,1802,-0.802
74,1,,,1419,-0.419
75,1,,,1794,-0.794
76,1,,,1568,-0.568
77,1,,,1670,-0.67
78,1,,,1896,-0.896
79,1,,,1711,-0.711
80,1,,,1610,-0.61
81,1,,,1792,-0.792
82,1,,,1552,-0.552
83,1,,,1841,-0.841
84,1,,,1671,-0.671
85,1,,,1703,-0.703
86,1,,,1393,-0.393
87,1,,,1485,-0.485
88,1,,,1652,-0.652
89,1,,,1595,-0.595
90,1,,,1560,-0.56
91,1,,,1961,-0.961
92,1,,,1573,-0.573
93,1,,,1314,-0.314
94,1,,,1789,-0.789
95,1,,,1684,-0.684
96,1,,,1919,-0.919
97,1,,,1470,-0.47
98,1,,,1691,-0.691
99,1,,,1621,-0.621
100,1,,,1842,-0.842
,,,,1722.44,
